id,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,pool_qc,fence,misc_feature,sale_type,saleprice
1044,RM,21.0,1680,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,483.0,GasA,TA,Y,SBrkr,483,987,0.0,1,1,TA,4,Typ,0,No Fireplace,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,COD,85400
2752,RL,64.0,7488,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,1208.0,GasA,Ex,Y,SBrkr,1208,1208,0.0,2,0,Gd,6,Typ,0,No Fireplace,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,No Pool,No Fence,No Misc Feature,WD ,183600
807,RL,120.0,26400,Pave,No Alley,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,No Basement,No Basement,No Basement,No Basement,0.0,No Basement,0.0,GasA,Ex,Y,SBrkr,1288,2016,0.0,1,0,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,No Pool,No Fence,No Misc Feature,WD ,131000
1177,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,960.0,GasA,Ex,Y,SBrkr,962,1607,1.0,2,1,Gd,7,Typ,0,No Fireplace,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,No Pool,No Fence,No Misc Feature,ConLD,200000
1480,RL,74.0,9627,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,1351.0,GasA,Ex,Y,SBrkr,1361,1361,0.0,2,0,Gd,6,Typ,0,No Fireplace,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,No Pool,No Fence,No Misc Feature,WD ,193000
324,RL,93.0,10114,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1430.0,GasA,Ex,Y,SBrkr,1430,1430,0.0,2,0,Gd,7,Typ,0,No Fireplace,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,173500
1311,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,624.0,GasA,Fa,N,SBrkr,624,1344,0.0,1,0,TA,7,Typ,0,No Fireplace,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,No Pool,No Fence,No Misc Feature,COD,98000
770,RL,80.0,8816,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,1121.0,GasA,TA,Y,SBrkr,1121,1121,1.0,1,0,TA,5,Typ,0,No Fireplace,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,No Pool,MnPrv,No Misc Feature,WD ,139000
2063,RL,71.0,8197,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,660.0,GasA,Ex,Y,SBrkr,1285,1285,0.0,1,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,No Pool,MnPrv,No Misc Feature,WD ,143500
69,FV,72.0,8640,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,756.0,GasA,Ex,Y,SBrkr,764,1547,0.0,2,1,Gd,7,Typ,0,No Fireplace,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,No Pool,No Fence,No Misc Feature,Con,215200
2062,RL,109.0,8724,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,894.0,GasA,Gd,Y,SBrkr,894,894,0.0,1,0,TA,5,Typ,1,Po,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,129000
351,RL,40.0,5664,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,1501.0,GasA,Ex,Y,SBrkr,1659,1659,1.0,2,0,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,No Pool,No Fence,No Misc Feature,WD ,278000
12,RL,75.0,7980,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,1187,1.0,2,0,TA,6,Typ,0,No Fireplace,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,No Pool,GdPrv,Shed,WD ,185000
2339,RL,100.0,34650,Pave,No Alley,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,1056.0,GasA,TA,N,SBrkr,1056,1056,1.0,1,0,TA,5,Typ,0,No Fireplace,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,No Pool,No Fence,No Misc Feature,WD ,145000
624,RL,92.0,10573,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,1453.0,GasA,Ex,Y,SBrkr,1453,1453,1.0,2,0,TA,6,Typ,1,TA,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,No Pool,GdPrv,No Misc Feature,WD ,187500
86,RL,65.0,8450,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,894.0,GasA,Ex,Y,SBrkr,894,894,1.0,1,0,TA,5,Typ,1,Gd,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,No Pool,MnPrv,No Misc Feature,WD ,138500
1534,RL,60.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,942.0,GasA,Ex,Y,SBrkr,1265,1938,0.0,2,0,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,No Pool,No Fence,No Misc Feature,WD ,198000
2243,C (all),75.0,8250,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,957.0,GasA,Fa,N,SBrkr,1034,1991,0.0,2,0,TA,9,Typ,0,No Fireplace,No Garage,No Garage,0.0,0.0,No Garage,No Garage,N,0,0,No Pool,No Fence,No Misc Feature,WD ,119600
1957,RL,60.0,8064,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,672.0,GasA,Ex,Y,SBrkr,672,924,0.0,1,0,TA,6,Typ,1,Po,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,No Pool,MnPrv,Shed,WD ,122900
380,RL,80.0,9600,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,2524.0,GasA,TA,Y,SBrkr,2524,2524,1.0,2,1,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,No Pool,MnPrv,No Misc Feature,WD ,278000
2860,RL,60.0,11435,Pave,No Alley,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,792.0,GasA,Fa,Y,SBrkr,792,1517,0.0,1,0,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,230000
2517,RL,30.0,9549,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1494.0,GasA,Ex,Y,SBrkr,1494,1494,1.0,1,1,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,No Pool,No Fence,No Misc Feature,WD ,270000
1933,RL,60.0,10950,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,948.0,GasA,TA,Y,SBrkr,948,948,0.0,1,0,TA,5,Typ,0,No Fireplace,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,No Pool,No Fence,No Misc Feature,WD ,125000
820,RL,79.0,10637,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,1705.0,GasA,Ex,Y,SBrkr,1718,1718,1.0,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,No Pool,No Fence,No Misc Feature,WD ,297000
675,RL,80.0,9000,Pave,No Alley,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,160.0,GasA,Fa,Y,SBrkr,1142,1142,0.0,1,0,TA,5,Typ,1,Gd,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,No Pool,No Fence,No Misc Feature,WD ,113500
2910,RM,41.0,2665,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,757.0,GasA,Ex,Y,SBrkr,925,1475,0.0,2,0,TA,6,Typ,1,TA,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,No Pool,No Fence,No Misc Feature,WD ,127000
21,RL,105.0,11751,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,1844,0.0,2,0,TA,7,Typ,1,TA,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,No Pool,MnPrv,No Misc Feature,COD,190000
1873,RL,80.0,9600,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,1242.0,GasA,Fa,Y,SBrkr,1242,1242,0.0,1,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,175500
2125,RL,60.0,8428,Pave,No Alley,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,990.0,GasA,Ex,Y,SBrkr,990,990,1.0,1,0,TA,5,Typ,0,No Fireplace,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,No Pool,No Fence,No Misc Feature,WD ,146000
1489,RL,75.0,9937,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,1256.0,GasA,Gd,Y,SBrkr,1256,1256,1.0,1,1,TA,6,Typ,0,No Fireplace,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,No Pool,No Fence,No Misc Feature,WD ,147500
983,RL,70.0,9101,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,1097.0,GasA,Ex,Y,SBrkr,1110,1110,1.0,1,0,Gd,4,Typ,1,TA,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,No Pool,No Fence,No Misc Feature,WD ,165500
1325,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,1050.0,GasA,Ex,N,FuseF,1050,1795,0.0,2,0,TA,7,Typ,0,No Fireplace,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,131500
1378,RL,70.0,11200,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,1040.0,GasA,Ex,Y,SBrkr,1040,1040,1.0,1,0,TA,5,Typ,0,No Fireplace,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,129500
1537,RL,100.0,9670,Pave,No Alley,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,608.0,GasA,TA,Y,SBrkr,983,1873,0.0,1,1,TA,9,Typ,2,Gd,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,257076
905,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,984.0,GasA,Ex,Y,SBrkr,984,1604,0.0,2,0,TA,6,Min2,0,No Fireplace,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,No Pool,No Fence,No Misc Feature,WD ,117000
1532,RL,60.0,7200,Pave,No Alley,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,776.0,GasA,TA,Y,SBrkr,851,1502,0.0,1,1,TA,6,Typ,1,Gd,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,No Pool,MnPrv,No Misc Feature,WD ,149000
132,RL,80.0,9920,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,1056.0,GasA,TA,Y,SBrkr,1063,1063,1.0,1,0,TA,6,Typ,0,No Fireplace,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,No Pool,MnPrv,No Misc Feature,WD ,128000
1078,RL,36.0,2448,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,GasA,Ex,Y,SBrkr,764,1626,0.0,2,1,Gd,6,Typ,0,No Fireplace,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,No Pool,No Fence,No Misc Feature,WD ,155000
2511,FV,24.0,2998,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,756.0,GasA,Ex,Y,SBrkr,768,1524,0.0,2,1,Gd,4,Typ,0,No Fireplace,Detchd,Unf,2.0,440.0,TA,TA,Y,0,32,No Pool,No Fence,No Misc Feature,WD ,166000
912,RL,65.0,7804,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,1122.0,GasA,TA,Y,SBrkr,1328,1981,1.0,2,0,Gd,7,Min2,2,TA,Detchd,Unf,2.0,576.0,TA,TA,Y,431,44,No Pool,MnPrv,No Misc Feature,WD ,135000
2351,RL,80.0,16692,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,1392.0,GasA,TA,Y,SBrkr,1392,2784,1.0,3,1,Gd,12,Typ,2,TA,Attchd,RFn,2.0,564.0,TA,TA,Y,0,112,Fa,MnPrv,TenC,WD ,250000
330,RM,21.0,1476,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,Unf,546.0,GasA,Ex,Y,SBrkr,546,1092,0.0,1,1,TA,5,Typ,0,No Fireplace,No Garage,No Garage,0.0,0.0,No Garage,No Garage,Y,200,26,No Pool,No Fence,No Misc Feature,WD ,76000
2586,RL,75.0,10170,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,216.0,GasA,TA,Y,SBrkr,1575,1575,0.0,1,1,Gd,5,Typ,1,Gd,Attchd,Unf,2.0,400.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,155000
224,RL,80.0,9364,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,TA,No,ALQ,371.0,Unf,663.0,GasA,TA,Y,SBrkr,663,1352,0.0,1,1,TA,7,Typ,0,No Fireplace,Attchd,Fin,1.0,299.0,TA,TA,Y,379,36,No Pool,MnPrv,No Misc Feature,WD ,158000
